epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.7257,0.67846,0.87462,1,0.42098,0.0003334,0.0003334,0.0003334
2,69.669,0.40075,0.88991,1,0.23486,0.000669937,0.000669937,0.000669937
